trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.9, 'e': 0.1757473014911758}",30,13,6.662903458768059,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.17398982847626404}",30,12,32.81359695093476,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.1722499301915014}",20,0,24.110841125544933,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.9, 'e': 0.17052743088958636}",25,0,19.847767132930585,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.9, 'e': 0.1688221565806905}",30,19,20.549159007353996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.1671339350148836}",30,9,-14.233462929421293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.9, 'e': 0.16546259566473476}",20,0,-21.431904540335573,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.9, 'e': 0.16380796970808742}",25,0,34.942905108743126,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.9, 'e': 0.16216989001100654}",20,3,24.099504183710582,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.16054819111089647}",30,15,-19.19716013709541,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.9, 'e': 0.1589427091997875}",25,14,15.61281470924487,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.15735328210778962}",25,15,16.009683337108875,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.15577974928671173}",25,14,16.255201365352463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.9, 'e': 0.15422195179384462}",25,0,6.698254273146674,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
187,False,"{'a': 0.9, 'e': 0.15267973227590617}",25,0,25.712152777955346,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
188,False,"{'a': 0.9, 'e': 0.1511529349531471}",20,13,-67.75962125139961,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
189,False,"{'a': 0.9, 'e': 0.14964140560361563}",20,1,-67.53724420726202,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
190,False,"{'a': 0.9, 'e': 0.14814499154757946}",25,4,23.7358373073968,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.14666354163210368}",20,11,-5.230161261085071,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.14519690621578263}",25,0,23.898706197409147,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.9, 'e': 0.1437449371536248}",20,4,24.598817498967374,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.14230748778208857}",20,0,-95.17583777880647,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
195,False,"{'a': 0.9, 'e': 0.14088441290426768}",30,24,10.132777596783752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.139475568775225}",25,15,18.742597556799343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.13808081308747275}",25,8,14.092903731523368,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.136700004956598}",30,13,-69.49065613501078,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
199,False,"{'a': 0.9, 'e': 0.13533300490703204}",20,0,21.852282720468033,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
200,False,"{'a': 0.9, 'e': 0.13397967485796172}",25,0,-0.41239406372352305,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
201,False,"{'a': 0.9, 'e': 0.1326398781093821}",30,17,-1.5675952243107023,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.13131347932828827}",20,13,15.332203186785785,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.1300003445350054}",30,8,20.406041028115098,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.12870034108965533}",25,13,21.50683497242791,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.1274133376787588}",25,17,16.68535799564485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.12613920430197118}",25,16,19.26346511674548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.12487781225895148}",30,13,-54.11740066219595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
208,False,"{'a': 0.9, 'e': 0.12362903413636196}",20,15,2.905682031068012,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 0.12239274379499834}",25,20,10.189657114390245,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9, 'e': 0.12116881635704835}",20,16,9.39479983007024,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.11995712819347787}",25,1,22.517226679161357,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.11875755691154309}",30,0,0.9936868313941756,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
213,False,"{'a': 0.9, 'e': 0.11756998134242766}",20,0,33.03915544122434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.9, 'e': 0.11639428152900338}",20,8,-31.85175468284222,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
215,False,"{'a': 0.9, 'e': 0.11523033871371334}",20,8,16.047824026770446,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.9, 'e': 0.11407803532657622}",35,18,27.55202750317359,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.11293725497331045}",25,13,20.98021670340236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.11180788242357734}",20,8,-20.931623440663014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
219,False,"{'a': 0.9, 'e': 0.11068980359934157}",30,11,21.09196941836843,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
